run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Complexity,Epoch,Generalization Gap,KL Loss on Train Data (kl mean)
gq48p6mk,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd1e-05,0.001,128,0.2,1e-05,adam,2,2048,73.0,23721.0,0.28600001335144043,0.009999028407037258
bzqw7oyr,opadam_hw2048_nl2_lr0.001_bs128_dp0.2_wd0,0.001,128,0.2,0.0,adam,2,2048,84.0,423325.0,0.2979999780654907,0.010847183875739574
6pqvl7vv,oprmsprop_hw2048_nl4_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,rmsprop,4,2048,67.0,123513.0,0.2394999861717224,0.00999993272125721
29f11lc3,oprmsprop_hw2048_nl4_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,rmsprop,4,2048,67.0,220337.0,0.25725001096725464,0.00999823585152626
wapbtwpk,oprmsprop_hw2048_nl4_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,rmsprop,4,2048,68.0,431247.0,0.2432500123977661,0.011424518190324306
fytlrxrj,opsgd_hw2048_nl4_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,sgd,4,2048,81.0,324346.0,0.3100000023841858,0.009999935515224934
zkaxhvm6,opsgd_hw2048_nl4_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,sgd,4,2048,81.0,323979.0,0.3050000071525574,0.009998328052461147
dbm2xxkj,opsgd_hw2048_nl4_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,sgd,4,2048,81.0,429099.0,0.30800002813339233,0.00999972689896822
tq5o6v4a,opadam_hw2048_nl4_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,adam,4,2048,81.0,119152.0,0.2527499794960022,0.009996501728892326
4mb7kntx,opadam_hw2048_nl4_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,adam,4,2048,72.0,429003.0,0.2667499780654907,0.011312056332826614
teucbqzt,opadam_hw2048_nl4_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,adam,4,2048,70.0,431263.0,0.27025002241134644,0.011554863303899763
squznssy,oprmsprop_hw2048_nl3_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,rmsprop,3,2048,65.0,18442.0,0.2294999957084656,0.009997595101594923
3l1mofl3,oprmsprop_hw2048_nl3_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,rmsprop,3,2048,66.0,425709.0,0.24949997663497925,0.011579088866710665
jiuxoimq,oprmsprop_hw2048_nl3_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,rmsprop,3,2048,71.0,219274.0,0.2737499475479126,0.009992269799113274
ngwn4d8r,opsgd_hw2048_nl3_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,sgd,3,2048,89.0,12268.0,0.3050000071525574,0.009999037720263004
annc55ew,opsgd_hw2048_nl3_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,sgd,3,2048,87.0,317496.0,0.3059999942779541,0.009997718967497349
dkp23hgh,opsgd_hw2048_nl3_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,sgd,3,2048,87.0,224110.0,0.3059999942779541,0.009999347850680351
4aimcpqj,opadam_hw2048_nl3_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,adam,3,2048,71.0,22141.0,0.24225002527236936,0.00999927707016468
z2rvh30y,opadam_hw2048_nl3_lr0.003_bs128_dp0.2_wd1e-05,0.003,128,0.2,1e-05,adam,3,2048,70.0,426295.0,0.28074997663497925,0.012157981283962728
0nq57do0,opadam_hw2048_nl3_lr0.003_bs128_dp0.2_wd0,0.003,128,0.2,0.0,adam,3,2048,71.0,425439.0,0.2774999737739563,0.009997728280723097
w1h8vhyn,oprmsprop_hw2048_nl2_lr0.003_bs128_dp0.2_wd0.0001,0.003,128,0.2,0.0001,rmsprop,2,2048,67.0,121334.0,0.24849998950958252,0.009999302215874197
