run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Base Train Loss,Epoch,Epochs Taken,Final Overall Base Train Loss,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target,_runtime,_step,_timestamp,_wandb
9hc7ydq4,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,sgd,3,2048,0.6980000138282776,1.0,0.05928037688136101,19097,19097,0.009987268596887589,False,0.009987268596887589,False,True,25658.034630060196,630201,1740749488.92888,{'runtime': 25657}
9o7itxxq,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,sgd,3,2048,0.6949999928474426,1.0,0.026568181812763218,18699,18699,0.009992212057113647,False,0.009992212057113647,False,True,22030.8542201519,617067,1740745864.950982,{'runtime': 22030}
bgjz527s,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,sgd,3,2048,0.6949999928474426,1.0,0.02849755063652992,18657,18657,0.009998442605137823,False,0.009998442605137823,False,True,26417.733405590057,615681,1740750201.2308006,{'runtime': 26417}
zls0qipk,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,adam,3,2048,0.6980000138282776,1.0,0.03918122500181198,34,34,0.00855259969830513,False,0.00855259969830513,False,True,67.5465304851532,1122,1740723842.0719924,{'runtime': 67}
v1y9a7bl,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,adam,3,2048,0.7170000076293945,1.0,0.057605549693107605,31,31,0.006701129022985697,False,0.006701129022985697,False,True,63.42961049079895,1023,1740723838.5644565,{'runtime': 63}
08g1xje8,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,adam,3,2048,0.7139999866485596,0.999750018119812,0.1142031103372574,31,31,0.00891855452209711,False,0.00891855452209711,False,True,65.7872383594513,1023,1740723835.1114953,{'runtime': 65}
ve4w8j8f,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,rmsprop,2,2048,0.7120000123977661,0.999750018119812,0.013685218058526516,72,72,0.008204903453588486,False,0.008204903453588486,False,True,317.2288761138916,2376,1740724064.452713,{'runtime': 313}
3zqcqi4s,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,rmsprop,2,2048,0.6850000023841858,0.999750018119812,0.02359126508235931,63,63,0.00947787519544363,False,0.00947787519544363,False,True,77.13069105148315,2079,1740723805.385356,{'runtime': 76}
4wi3k61j,oprmsprop_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,rmsprop,2,2048,0.6899999976158142,0.999750018119812,0.028390947729349136,63,63,0.007652030326426029,False,0.007652030326426029,False,True,65.34491610527039,2079,1740723790.906829,{'runtime': 65}
i3c976et,opsgd_hw2048_nl2_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,sgd,2,2048,0.6769999861717224,1.0,0.09295289218425752,38467,38467,0.00999979767948389,False,0.00999979767948389,False,True,40983.96529126167,1269411,1740764701.8516562,{'runtime': 40980}
