run_id,run_name,lr,input_dim,batch_size,output_dim,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Batch Size,Complexity,Depth,Dist Train (kl mean),Dropout Probability,Epoch,Generalization Gap,KL Loss on Train Data (kl mean),Learning Rate,Optimizer,Weight Decay,Width,_runtime,_step,_timestamp,_wandb
h90tgbvg,opadam_hw2048_nl4_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,adam,4,2048,128.0,68.0,4.0,0.012793351896107197,0.2,430986.0,0.27675002813339233,0.012793351896107197,0.0003,adam,1e-05,2048.0,5147.236753940582,1177022.0,1740889080.2449,{'runtime': 5143}
5frsxe4j,opadam_hw2048_nl4_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,adam,4,2048,128.0,73.0,4.0,0.009996114298701286,0.2,128993.0,0.29124999046325684,0.009996114298701286,0.0003,adam,0.0,2048.0,3269.3014149665833,815616.0,1740887189.992429,{'runtime': 3268}
0vpds4jz,oprmsprop_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,rmsprop,3,2048,128.0,70.0,3.0,0.01077042520046234,0.2,430347.0,0.27149999141693115,0.01077042520046234,0.0003,rmsprop,0.0001,2048.0,2168.927857160568,1111028.0,1740886086.6662152,{'runtime': 2165}
inksimcu,oprmsprop_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,rmsprop,3,2048,128.0,67.0,3.0,0.009999794885516168,0.2,20799.0,0.2787500023841858,0.009999794885516168,0.0003,rmsprop,1e-05,2048.0,4030.7447140216823,806348.0,1740887902.490699,{'runtime': 4026}
6787foc2,oprmsprop_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,rmsprop,3,2048,128.0,76.0,3.0,0.010347363539040089,0.2,427069.0,0.27549999952316284,0.010347363539040089,0.0003,rmsprop,0.0,2048.0,5047.623344659805,1351394.0,1740888918.3688247,{'runtime': 5038}
uxij0pvp,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,sgd,3,2048,128.0,88.0,3.0,0.010715187527239324,0.2,424082.0,0.30400002002716064,0.010715187527239324,0.0003,sgd,0.0001,2048.0,4570.865119457245,1315048.0,1740888427.6139305,{'runtime': 4567}
w6j4n97x,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,sgd,3,2048,128.0,86.0,3.0,0.011751641519367697,0.2,416601.0,0.3050000071525574,0.011751641519367697,0.0003,sgd,1e-05,2048.0,2252.938925743103,1154088.0,1740886113.6601477,{'runtime': 2252}
mthwc5ko,opsgd_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0,0.0003,40,128,10,0.2,0.0,sgd,3,2048,128.0,87.0,3.0,0.009999425150454044,0.2,324081.0,0.3050000071525574,0.009999425150454044,0.0003,sgd,0.0,2048.0,4009.404643297195,1296450.0,1740887808.975171,{'runtime': 4007}
0p3kkbb8,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd0.0001,0.0003,40,128,10,0.2,0.0001,adam,3,2048,128.0,76.0,3.0,0.01097012683749199,0.2,422653.0,0.3019999861717224,0.01097012683749199,0.0003,adam,0.0001,2048.0,2511.000471353531,1396300.0,1740886293.6657884,{'runtime': 2506}
s4gb18aj,opadam_hw2048_nl3_lr0.0003_bs128_dp0.2_wd1e-05,0.0003,40,128,10,0.2,1e-05,adam,3,2048,128.0,75.0,3.0,0.009999142959713936,0.2,430368.0,0.28299999237060547,0.009999142959713936,0.0003,adam,1e-05,2048.0,3558.739381313324,1242024.0,1740887323.6146193,{'runtime': 3549}
