run_id,run_name,lr,batch_size,dropout_prob,weight_decay,optimizer_name,num_hidden_layers,hidden_layer_width,Base Test Accuracy,Base Train Accuracy,Epochs Taken,Lost Patience,Overall Base Train Loss,Ran out of epochs,Reached Target
quzp3uw7,opadam_hw1024_nl4_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,adam,4,1024,0.7519999742507935,0.9955000281333924,167,False,0.008784189820289612,False,True
zu1synhp,opadam_hw1024_nl4_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,adam,4,1024,0.7450000047683716,0.9959999918937684,146,False,0.00920066051185131,False,True
nx5d6xnf,opadam_hw1024_nl4_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,adam,4,1024,0.75,0.9980000257492064,93,False,0.009050953201949596,False,True
20mksvlz,oprmsprop_hw1024_nl3_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,rmsprop,3,1024,0.7570000290870667,0.9957500100135804,203,False,0.0047607505694031715,False,True
q8r2l3qa,oprmsprop_hw1024_nl3_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,rmsprop,3,1024,0.7419999837875366,0.991249978542328,148,False,0.009677647612988949,False,True
ew00fzt0,oprmsprop_hw1024_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,rmsprop,3,1024,0.7170000076293945,0.9942499995231628,175,False,0.009980082511901855,False,True
epfoqxnc,opsgd_hw1024_nl3_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,sgd,3,1024,0.6840000152587891,1.0,1211,False,0.009963344782590866,False,True
sfkraopq,opsgd_hw1024_nl3_lr0.003_bs64_dp0.1_wd1e-05,0.003,64,0.1,1e-05,sgd,3,1024,0.6890000104904175,1.0,1181,False,0.009972739964723589,False,True
aqif29ir,opsgd_hw1024_nl3_lr0.003_bs64_dp0.1_wd0,0.003,64,0.1,0.0,sgd,3,1024,0.6869999766349792,1.0,1178,False,0.009936047717928886,False,True
3tabjotb,opadam_hw1024_nl3_lr0.003_bs64_dp0.1_wd0.0001,0.003,64,0.1,0.0001,adam,3,1024,0.722000002861023,0.993749976158142,153,False,0.00850951299071312,False,True
